Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,174.9309914,565.5697304,522.0822156,525.4697709,491.3372214,496.6025043,510.7870634,356.4962141,357.2611528,413.7578947,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,617.2304355,1160.420471,4199.539129,4457.634122,5006.36013,5897.654526,6069.439031,6027.913507,7242.455131,7756.961887,9730.869219,11377.77574
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,2445.183327,1772.928691,4685.059027,4424.98529,4554.66754,4577.210292,4468.453419,3743.541952,4160.559267,4960.303343,5370.477235,5752.990767
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,12727.41027,12843.33429,11863.68395,12552.05469,12886.13595,14489.25866,15236.16049,18017.45894,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,19563.65747,21810.25038,38654.95288,40129.83858,40672.97174,42819.75775,41257.81646,37361.10701,42425.70665,42414.04799,46812.4261,49303.64917
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,965.8668405,563.7337956,3641.728939,2051.814621,2790.718869,2860.093648,2493.678844,1759.356199,2303.908127,3682.113151,2916.136633,2665.874448
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,7590.754424,12027.49498,16077.63408,16556.85518,16965.72883,18273.42707,18896.37218,15369.60823,17348.6007,20105.19891,21494.5474,23542.45269
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,4315.334031,7637.014892,13679.6265,12699.96231,14532.50093,11752.79989,9955.974787,8535.59938,10738.01792,13962.18941,14261.84657,13969.78366
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,635.3553275,593.4505817,3512.393503,3524.424769,3869.053739,4196.005623,4597.228874,4268.680933,4685.179971,6571.974455,8159.08721,8556.21407
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,12187.53636,20681.02303,27458.22015,27441.55021,28440.04169,30082.15842,30645.8906,22759.80718,26749.32961,30975.99891,35718.75312,39498.59413
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,18273.56153,21908.9968,56970.3613,50084.44406,54117.54772,57410.17373,55194.75851,51983.45237,60758.90444,65169.51911,65058.37731,64603.98563
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,21596.06822,24487.29747,43915.22802,45061.49939,47163.74258,51194.07498,49885.99474,48716.40989,53648.6438,52336.77252,56579.50418,58268.87877
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,1238.271893,655.0972496,5500.503646,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649,5408.045352,7770.594223,7133.02838,7283.849908
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,11473.30084,24940.07751,30719.40542,30616.53632,31875.48817,32642.33532,33640.33699,26178.75376,30367.86058,34957.16133,38231.77448,39455.44665
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,9342.538914,14214.48368,23734.05511,23800.00144,24784.76935,26324.40665,27259.74386,24342.84446,27147.80839,30470.52193,29290.12842,29653.56827
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,283.0537371,396.6707302,1224.386477,1649.283809,1811.082217,1965.243727,2129.79897,2248.850788,2482.849178,2716.485928,2551.017738,2593.416117
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,7781.405733,11674.67365,20424.20875,20295.56721,20284.57621,21381.24263,21912.15012,19194.49197,21079.61453,24387.03873,25583.87878,26544.87073
