countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
AFG,Afghanistan,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.496,
AGO,Angola,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.616,
ALB,Albania,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.81,
AND,Andorra,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.913,
ARE,United Arab Emirates,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.94,
ARG,Argentina,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.865,
ARM,Armenia,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.811,
ATG,Antigua and Barbuda,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.851,
AUS,Australia,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.958,
AUT,Austria,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.93,
AZE,Azerbaijan,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.789,
BDI,Burundi,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.439,
BEL,Belgium,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.951,
BEN,Benin,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.515,
BFA,Burkina Faso,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.459,
BGD,Bangladesh,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.685,
BGR,Bulgaria,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.845,
BHR,Bahrain,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.899,
BHS,Bahamas,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.82,
BIH,Bosnia and Herzegovina,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.804,
BLR,Belarus,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.824,
BLZ,Belize,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.721,
BOL,Bolivia (Plurinational State of),HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.733,
BRA,Brazil,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.786,
BRB,Barbados,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.811,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.837,
BTN,Bhutan,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.698,
BWA,Botswana,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.731,
CAF,Central African Republic,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.414,
CAN,Canada,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.939,
CHE,Switzerland,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.97,
CHL,Chile,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.878,
CHN,China,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.797,
CIV,Côte d'Ivoire,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.582,
CMR,Cameroon,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.588,
COD,Congo (Democratic Republic of the),HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.522,
COG,Congo,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.649,
COL,Colombia,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.788,
COM,Comoros,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.603,
CPV,Cabo Verde,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.668,
CRI,Costa Rica,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.833,
CUB,Cuba,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.762,
CYP,Cyprus,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.913,
CZE,Czechia,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.915,
DEU,Germany,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.959,
DJI,Djibouti,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.513,
DMA,Dominica,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.761,
DNK,Denmark,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.962,
DOM,Dominican Republic,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.776,
DZA,Algeria,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.763,
ECU,Ecuador,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.777,
EGY,Egypt,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.754,
ERI,Eritrea,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.503,
ESP,Spain,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.918,
